level,key,class,budget_ms,completed_depth,nodes,nps,nodes_depth_proxy,qsearch_ratio,eval_per_node,movegen_per_node,make_unmake_per_node,pseudo_to_legal_ratio,tt_hit_rate,tt_cutoff_rate,tt_depth_reject_per_hit,tt_bound_reject_per_eligible_hit,tt_cutoff_per_eligible_hit,tt_store_per_probe,lmr_research_rate,null_research_rate,aspiration_retry_per_iter,futility_pruned,qsearch_see_prune_rate,aborted_iteration_depth,completed_iteration_growth
position,closed_01,closed_middlegame,500,5.0,76454.0,156026.0,9.4772,0.8047191775446674,0.9639783399168127,2.772438328929814,113.10482119967563,1.1360881906005202,0.22848895116228032,0.0030386413896719955,0.8838566678980421,0.8854961832061069,0.11450381679389313,0.9967101933394068,0.0821917808219178,0.3333333333333333,0.6,6668.0,0.41192919585165877,6.0,4.493117369521864
position,closed_01,closed_middlegame,1000,6.0,117066.0,119664.0,6.994207,0.7888456084601848,0.9590999948746861,2.7430509285360394,110.89359848290708,1.1625640816284704,0.24594447089424853,0.002090179639327891,0.9257790368271954,0.8854961832061069,0.11450381679389313,0.9977124145058467,0.0821917808219178,0.5384615384615384,0.5,7646.0,0.38654295272360034,0.0,4.493117369521864
position,closed_01,closed_middlegame,3000,6.0,393515.0,133848.0,8.56039,0.853304849001825,0.9741051802345527,2.857078854180641,123.47247245975376,1.0892235172144829,0.126989343632937,0.0006398473673189232,0.9337196253120491,0.9239806496199032,0.07601935038009675,0.9992810406356992,0.045714285714285714,0.2833333333333333,0.5,166879.0,0.41313683492641967,7.0,4.493117369521864
position,closed_02,closed_middlegame,500,5.0,73376.0,149745.0,9.399631,0.8694123419101614,0.9759594417793284,2.7077791103358044,127.38865569123419,1.0570562336969032,0.19725590523585898,0.0024356907548889043,0.5850581860175891,0.9702419182187968,0.029758081781203167,0.997424125604542,0.008849557522123894,0.25,0.0,15595.0,0.49492482637563917,6.0,4.256224752949769
position,closed_02,closed_middlegame,1000,5.0,121984.0,124472.0,10.405443,0.8457010755508919,0.9617982686253935,2.5666562827911856,121.29605522035676,1.0814170854184377,0.23434664810718103,0.0017275235514901445,0.752280441238863,0.9702419182187968,0.029758081781203167,0.9981481941786184,0.008849557522123894,0.23076923076923078,0.0,17747.0,0.47072546025180073,6.0,4.256224752949769
position,closed_02,closed_middlegame,3000,6.0,380301.0,129353.0,8.511797,0.8331479538576023,0.958724799566659,2.5525307585307426,121.69935919179808,1.0859516378089251,0.18945343550284569,0.0006478331372611364,0.868318368716959,0.9740321809781742,0.025967819021825714,0.9992595818815331,0.016129032258064516,0.3333333333333333,0.0,161682.0,0.45177275554634044,7.0,4.256224752949769
position,closed_03,closed_middlegame,500,4.0,47662.0,97268.0,14.77553,0.8898073937308548,0.9664302798875415,2.6801854727036214,131.83114430783434,1.0938536913357584,0.2631562918747716,0.0032281642100134,0.2967249160976739,0.9825571828204707,0.017442817179529373,0.9966195638932879,0.11666666666666667,0.0,0.0,7245.0,0.3943216386128574,5.0,3.2898675477921064
position,closed_03,closed_middlegame,1000,5.0,120606.0,122885.0,10.381827,0.8718554632439514,0.9566273651393795,2.6208977994461304,128.81002603518897,1.108941386895372,0.2128406963924002,0.0017932915740553647,0.5707386871758183,0.9802777777777778,0.01972222222222222,0.9981309355425338,0.09836065573770492,0.0,0.0,28121.0,0.4690204271778873,6.0,3.2898675477921064
position,closed_03,closed_middlegame,3000,6.0,363414.0,123609.0,8.447605,0.8349134892395823,0.9570957640597225,2.62457968047461,126.99925704568344,1.119850513633466,0.1699494353203651,0.0007246789834952326,0.8149913760061326,0.9769519616729251,0.02304803832707497,0.9992061101023507,0.05454545454545454,0.1956521739130435,0.0,140153.0,0.49455429139511764,7.0,3.2898675477921064
position,closed_04,closed_middlegame,500,5.0,53651.0,109490.0,8.829082,0.8545973048032656,0.9782669474939889,2.5101489254627127,117.7469199082962,1.0488807300677505,0.22840961273534363,0.0011020970457676412,0.7541884465889291,0.9803707742639041,0.019629225736095966,0.9985611510791367,0.034482758620689655,0.5555555555555556,0.0,36571.0,0.3979199481145187,6.0,4.615408210214202
position,closed_04,closed_middlegame,1000,5.0,108630.0,110845.0,10.166933,0.8292141097736674,0.9634821165175259,2.4972254496444672,117.52013756564577,1.07980692818654,0.21384756823559556,0.0015795097325673228,0.6894924115895723,0.9761459307764265,0.023854069223573433,0.9980178701395234,0.022727272727272728,0.8076923076923077,0.0,57469.0,0.44613258165275405,6.0,4.615408210214202
position,closed_04,closed_middlegame,3000,6.0,382757.0,130189.0,8.520934,0.8359668943704196,0.9614585755453199,2.4448723341441174,115.33156949037786,1.0838887555631809,0.17917056227564926,0.0024754273866559448,0.3986913967447142,0.977023381294964,0.02297661870503597,0.9973140226375719,0.028077753779697623,0.475,0.0,183825.0,0.4665919058223956,7.0,4.615408210214202
position,mid_01,normal_middlegame,500,5.0,85466.0,174418.0,9.690779,0.8557087028759974,0.9091685582570846,2.50927854351438,116.86092715231788,1.1512051323737458,0.19895257378708822,0.0006619422163382915,0.938937273705842,0.9455128205128205,0.05448717948717949,0.9990897470658868,0.0,0.6363636363636364,0.0,25442.0,0.5294237388504386,6.0,4.659267381897932
