level,key,class,budget_ms,completed_depth,nodes,nps,ebf_approx,qsearch_ratio,eval_per_node,movegen_per_node,make_unmake_per_node,pseudo_to_legal_ratio,tt_hit_rate,tt_cutoff_rate,tt_store_per_probe,lmr_research_rate,null_research_rate,aspiration_retry_per_iter,futility_pruned,qsearch_see_prune_rate,aborted_iteration_depth
position,closed_01,closed_middlegame,100,4.0,20036.0,204438.0,11.897419,0.8757310672331917,0.9806348572569376,2.893042523457776,121.89638650429228,1.041238197114495,0.12777983202155196,0.009508214040462733,0.99006919866885,0.0,0.0,0.75,3348.0,0.37868162692847124,5.0
position,closed_01,closed_middlegame,500,5.0,88188.0,179974.0,9.751735,0.8002222524606523,0.9598244659137297,2.7650927563840884,111.94340248014173,1.1510784402475625,0.23370955605718585,0.002691588785046729,0.9970691588785047,0.0821917808219178,0.4444444444444444,0.6,6930.0,0.4031224888072552,6.0
position,closed_01,closed_middlegame,1000,6.0,172853.0,176380.0,7.463562,0.8105384343922293,0.9640677338547783,2.7659167037887684,114.43594267961794,1.1364149271006563,0.20047354768655365,0.0016589250165892503,0.9981525607769801,0.045714285714285714,0.46875,0.5,24053.0,0.4076370875309163,7.0
position,closed_01,closed_middlegame,3000,6.0,535647.0,182192.0,9.011833,0.8618362466325771,0.9711257043024948,2.866110902012774,125.00927289800933,1.090331551468149,0.11224018964568429,0.0004656478855352834,0.999472971256826,0.045714285714285714,0.24050632911392406,0.5,263111.0,0.41367768437868474,7.0
position,closed_02,closed_middlegame,100,4.0,17241.0,175923.0,11.458839,0.8673226822931063,0.9697813351893741,2.6512797832937145,126.52305550722116,1.0701872560864982,0.2266955962712954,0.0019286403085824494,0.997589199614272,0.0,0.0,0.0,1395.0,0.47966223869838326,5.0
position,closed_02,closed_middlegame,500,5.0,86521.0,176571.0,9.714586,0.8665063972908311,0.9661007154332474,2.6482819199963017,125.4590677407797,1.077437253251913,0.20631670589752685,0.0022571179827814143,0.9976321257711699,0.0,0.0,0.0,17764.0,0.4571939465305944,6.0
position,closed_02,closed_middlegame,1000,5.0,159263.0,162512.0,10.975466,0.840791646521791,0.9540243821117018,2.5261360140145546,120.91725008319573,1.0950600284594663,0.23103868858857393,0.0014071766006633832,0.9984925339689136,0.0,0.1875,0.0,25844.0,0.4665841246142221,6.0
position,closed_02,closed_middlegame,3000,6.0,506815.0,172385.0,8.929111,0.8445727924180719,0.9629766946084196,2.6085100085830137,126.09839093160227,1.074709995343859,0.1715354332888537,0.0005093933236253301,0.9994407747208026,0.012468827930174564,0.2037037037037037,0.0,305631.0,0.46392367969784454,7.0
position,closed_03,closed_middlegame,100,4.0,16682.0,173405.0,11.364806,0.8793310154657715,0.9724853135115693,2.7384606162330654,139.5385445390241,1.0651834918488037,0.4194607805697701,0.005499121668066906,0.9945008783319331,0.0,0.0,0.0,1865.0,0.4582916010874231,0.0
position,closed_03,closed_middlegame,500,5.0,81386.0,166088.0,9.596435,0.8849802177278647,0.9672670975352026,2.695758484260192,130.82404836212618,1.0919152112255561,0.22697716356574363,0.002306185084357823,0.9975724367533075,0.09836065573770492,0.0,0.0,18275.0,0.4262093435836783,6.0
position,closed_03,closed_middlegame,1000,5.0,154159.0,157303.0,10.904199,0.8324976160976654,0.9533601415473701,2.5978243242366648,125.86408837628682,1.1306802319858607,0.26100177806514185,0.0013373554550025139,0.998562091503268,0.09836065573770492,0.16666666666666666,0.0,23084.0,0.5083108777583317,6.0
position,closed_03,closed_middlegame,3000,6.0,495935.0,168685.0,8.896874,0.8584007984917378,0.9656991339590874,2.717715023138113,135.18190085394255,1.1016597069169098,0.13720781041100616,0.00045553542933540346,0.9994986414801398,0.05454545454545454,0.18518518518518517,0.0,197357.0,0.492120668254554,7.0
position,closed_04,closed_middlegame,100,4.0,18665.0,190449.0,11.688452,0.8976694347709617,0.9711058128973661,2.4011133284318875,106.56051316984559,1.0639637986261232,0.3339642730391577,0.002366023896841358,0.9971607713237903,0.08333333333333333,0.0,0.0,1830.0,0.41001506024096385,5.0
