level,key,class,budget_ms,completed_depth,nodes,nps,nodes_depth_proxy,qsearch_ratio,eval_per_node,movegen_per_node,make_unmake_per_node,pseudo_to_legal_ratio,tt_hit_rate,tt_cutoff_rate,tt_depth_reject_per_hit,tt_bound_reject_per_eligible_hit,tt_cutoff_per_eligible_hit,tt_store_per_probe,lmr_research_rate,null_research_rate,aspiration_retry_per_iter,futility_pruned,qsearch_see_prune_rate,aborted_iteration_depth,completed_iteration_growth
position,closed_01,closed_middlegame,500,5.0,72490.0,147938.0,9.376821,0.8082907987308594,0.9635535935991171,2.7722838653185753,113.38896399503379,1.1324536072242442,0.22425531914893618,0.0031914893617021275,0.8757115749525617,0.8854961832061069,0.11450381679389313,0.9965602836879432,0.0821917808219178,0.2857142857142857,0.6,6620.0,0.4155787514901288,6.0,4.493846976993044
position,closed_01,closed_middlegame,1000,6.0,146639.0,149630.0,7.261755,0.7997258573776417,0.9619951036218196,2.744978434545734,112.16873949579832,1.149507053761098,0.22448121015904374,0.001966325532051106,0.8877571806885313,0.9219600725952813,0.0780399274047187,0.9978233233645202,0.04964539007092199,0.5357142857142857,0.5,13129.0,0.39971609239901923,7.0,4.493846976993044
position,closed_01,closed_middlegame,3000,6.0,473487.0,161049.0,8.828454,0.8586793291777478,0.9708777643314389,2.8616477326727026,124.32582615334279,1.0934784666636044,0.11721281958948505,0.0005308329492837374,0.9402411827868176,0.9239806496199032,0.07601935038009675,0.999406432247619,0.045714285714285714,0.2463768115942029,0.5,217065.0,0.4134467833956325,7.0,4.493846976993044
position,closed_02,closed_middlegame,500,5.0,70280.0,143427.0,9.318936,0.8832958380202475,0.9655455989110708,2.6933693796243596,128.2510813887308,1.0728469542250578,0.1856489876095497,0.002637478570486615,0.43683624962071405,0.9748563218390804,0.02514367816091954,0.9972423692958597,0.0,0.0,0.0,17466.0,0.4464450928759519,6.0,3.973753176620076
position,closed_02,closed_middlegame,1000,5.0,117759.0,120160.0,10.332343,0.8507290313266926,0.9580308436048773,2.5648825142876555,122.1614529440494,1.0879384381747113,0.23013695066914644,0.001820806617331478,0.6853348403503815,0.9748563218390804,0.02514367816091954,0.9980751472902496,0.0,0.1111111111111111,0.0,19606.0,0.47764344655536367,6.0,3.973753176620076
position,closed_02,closed_middlegame,3000,6.0,467041.0,158856.0,8.808308,0.8419521779330182,0.9617962810766386,2.5947281008150127,125.4688120676666,1.0788212704782962,0.18076829974537087,0.0005637997652877064,0.7127044664802102,0.9891439022951206,0.010856097704879344,0.9993810459098472,0.012468827930174564,0.21153846153846154,0.0,259589.0,0.459983733994061,7.0,3.973753176620076
position,closed_03,closed_middlegame,500,4.0,59516.0,121459.0,15.619187,0.8963976073660864,0.9704746835443038,2.7616271254788627,133.95140802473284,1.0884445054394012,0.19700888339143147,0.0017316990891712582,0.43732876712328766,0.9843781700142017,0.015621829985798336,0.9981558529180254,0.13333333333333333,0.0,0.0,16405.0,0.4131586632733948,5.0,3.295281611262822
position,closed_03,closed_middlegame,1000,5.0,140984.0,143860.0,10.711097,0.8390597514611587,0.9558531464563355,2.609735856551098,126.71349940418771,1.1233082442829405,0.2600483578917694,0.001442062691778074,0.6938792528352234,0.981885044946881,0.018114955053119042,0.9984705805239354,0.09836065573770492,0.13333333333333333,0.0,21599.0,0.509949223266804,6.0,3.295281611262822
position,closed_03,closed_middlegame,3000,6.0,424544.0,144402.0,8.669362,0.851530112308736,0.9634242858219643,2.689101718549785,133.0965553629306,1.106699250449387,0.151745177092534,0.0005508169364800516,0.8338846170368143,0.9781484354797,0.021851564520299974,0.9993905161708772,0.05454545454545454,0.20833333333333334,0.0,142962.0,0.492665841176929,7.0,3.295281611262822
position,closed_04,closed_middlegame,500,5.0,66076.0,134847.0,9.204681,0.8443610388038016,0.9707306737695987,2.458229917065198,110.13433016526425,1.0725299197930127,0.26520774561091176,0.0009957679860592482,0.8087866108786611,0.9803063457330415,0.019693654266958426,0.9984936046670866,0.034482758620689655,0.7777777777777778,0.0,40906.0,0.4158678589809573,6.0,4.838337403629747
position,closed_04,closed_middlegame,1000,6.0,137242.0,154463.0,7.18204,0.8382492239984844,0.9620524329286952,2.4693606913335566,113.98536891039186,1.0874910018523316,0.2128535246939637,0.0007387083157450401,0.7596058502726822,0.9855632895076051,0.014436710492394948,0.9989315111861545,0.027777777777777776,0.78125,0.0,61162.0,0.4416058112724497,0.0,4.838337403629747
